DataNumberSFAFItem,TYPE,Title,SPECTRUMXXI Tags,MaximumLengthsInput,OccurrencesMaximum,IRACTo,GMF Tags,ISARRAY,FieldName,Description,Column,Type
5,ADMINISTRATIVE DATA,Security Classification,"CLA,CDD,FOIm","2,10",1,Y,"CLA,FOICDD,c",FALSE,5,"Data Item 005 has two parts. Part one contains a 2-letter designator representing the security classification of the record and the record special handling instructions. The second part of the item contains a 10-character field containing the record declassification instructions. The record declassification instructions must always be entered if the first character of the security classification is a –C,” –S,” or –T.”",sfaf.security_classification,str(10)
6,ADMINISTRATIVE DATA,SecurityModificationClassification,"CLA,CDD,FOIm","2,10",1,Y,"CLA,FOICDD,c",FALSE,6,,sfaf.securitymodificationclassification,str(10)
7,ADMINISTRATIVE DATA,Missing Data Indicator,MSD,1,1,Y,MSD,FALSE,7,,sfaf.missing_data_indicator,str(1)
10,ADMINISTRATIVE DATA,Type of Action,TYP,1,1,Y,TYP,FALSE,10,,sfaf.type_of_action,str(1)
14,ADMINISTRATIVE DATA,Derivative Classification,CLF,"8,60",10,Y35,*CLFb,TRUE,14,,sfaf.derivative_classification,str(60)
15,ADMINISTRATIVE DATA,Unclassified Data Fields,CLU,72,1,Y35,*CLU,FALSE,15,,sfaf.unclassified_data_fields,str(72)
16,ADMINISTRATIVE DATA,Extended Declassification Date,CDE,35,1,Y,*CDE,FALSE,16,,sfaf.extended_declassification_date,str(35)
17,ADMINISTRATIVE DATA,Downgrading Instructions,DNG,"1,8",1,Y,"*AGN,DNG",FALSE,17,,sfaf.downgrading_instructions,"str(1,8)"
18,ADMINISTRATIVE DATA,Original Classification Authority,OCA,60,1,Y35,*CLA,FALSE,18,,sfaf.original_classification_authority,str(60)
19,ADMINISTRATIVE DATA,Reason for Classification,CLR,35,1,Y,*CLR,FALSE,19,,sfaf.reason_for_classification,str(35)
20,ADMINISTRATIVE DATA,Proposal References,,64,10,N,,TRUE,20,,sfaf.proposal_references,str(64)
